S.no.,k,Success Rate,Collision Rate,Nav Time,Total Reward,Freq. Danger,Avg. Min. Separation dist in Danger,Configuration of Robot,Configuration of humans
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(0.4, 6.4), (-6.7, 1.0)]]","[[(-0.6, -4.4), (-0.5, 5.8)], [(-0.7, -3.2), (-1.1, -3.8)], [(-5.5, -0.5), (2.5, -0.5)], [(1.1, 6.0), (-3.0, -0.0)], [(6.3, 1.1), (6.8, 0.4)], [(5.4, 0.2), (-5.7, 0.2)], [(-1.5, 0.4), (-2.2, -1.0)], [(4.4, 0.1), (1.2, 6.9)]]"
1,1,0.0,1.0,25,-0.6733810257463942,0.0,0,"[[(0.8, 3.3), (-4.7, -1.1)]]","[[(-0.1, 2.5), (4.0, 0.1)], [(-0.3, 4.8), (2.9, -1.1)], [(0.4, 5.7), (6.8, 0.6)], [(-6.8, 0.7), (0.7, 4.3)], [(4.1, -1.2), (-0.4, -5.5)], [(-1.2, -0.6), (5.9, -1.1)], [(3.8, 0.7), (-3.4, -0.8)], [(-0.9, -4.0), (7.2, -1.0)]]"
1,1,0.0,1.0,25,-0.5643358365447524,0.5,0.09251087364469496,"[[(5.2, -0.2), (-1.1, -3.2)]]","[[(1.1, 2.4), (0.4, 2.4)], [(-0.4, 4.2), (0.8, -5.3)], [(-0.8, 0.5), (-0.6, -3.8)], [(-0.8, -6.8), (5.3, 0.4)], [(2.6, 0.7), (3.0, 0.2)], [(-1.1, 7.1), (-1.1, -5.0)], [(5.3, -1.1), (-3.6, 1.2)], [(-5.4, 1.2), (0.6, 6.0)]]"
1,1,0.0,1.0,25,-0.5790633262446722,0.4,0.09044000656131124,"[[(3.7, 0.4), (-3.1, -0.2)]]","[[(0.2, 6.4), (-0.5, 2.3)], [(-1.0, 6.7), (4.7, -1.0)], [(1.0, -4.9), (-0.1, -6.6)], [(0.9, 1.2), (6.8, 0.9)], [(-0.1, 2.3), (0.8, -5.8)], [(-3.1, -0.4), (-5.1, 0.4)], [(-1.2, -0.3), (4.7, 0.6)], [(-5.9, 0.4), (2.4, 0.9)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(5.6, 0.3), (-7.0, -0.3)]]","[[(0.8, 1.4), (-1.0, 5.5)], [(-0.0, 7.1), (1.2, -7.2)], [(-1.2, -7.0), (-0.2, -6.5)], [(-2.6, -0.6), (-3.3, 0.1)], [(5.2, 0.2), (-0.5, -4.2)], [(-0.1, -6.7), (2.8, -0.7)], [(-4.5, -0.9), (0.4, 5.1)], [(-6.4, -0.5), (-5.5, -0.1)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(-3.2, -1.1), (0.2, -2.6)]]","[[(-0.8, -6.1), (-6.8, 0.5)], [(-1.3, 0.2), (-5.4, -0.4)], [(3.2, 1.0), (5.9, 0.1)], [(1.0, -4.9), (4.0, -0.6)], [(-2.7, -0.9), (2.1, 0.1)], [(-0.1, 3.0), (0.0, 2.2)], [(0.6, 7.1), (0.3, -6.5)], [(0.5, -3.5), (-3.3, -0.7)]]"
1,1,0.0,1.0,25,-0.7293966883513403,0.8,0.011194248033382648,"[[(-0.9, 3.4), (3.0, 1.2)]]","[[(0.4, 4.4), (0.7, 7.0)], [(5.6, 0.2), (-0.7, 3.6)], [(-0.5, 6.6), (0.8, -7.0)], [(-1.8, 0.2), (-3.3, 0.7)], [(-6.9, -0.3), (0.2, -3.5)], [(-1.7, -1.2), (5.6, 0.1)], [(1.2, -5.7), (-6.0, -0.3)], [(0.0, 3.4), (-3.8, -0.5)]]"
1,1,1.0,0.0,3.75,1.0922519621813962,0.2,0.0851429272396866,"[[(-4.4, 0.8), (0.8, 2.1)]]","[[(0.3, -2.9), (-1.2, -6.1)], [(-5.3, 0.6), (-3.3, 0.1)], [(4.8, 0.9), (-4.7, 0.9)], [(0.8, 4.1), (4.6, 1.1)], [(-0.8, 2.5), (4.0, 0.2)], [(-0.1, -0.6), (1.1, -5.6)], [(-0.7, -4.5), (0.5, -4.5)], [(-7.0, -0.1), (-0.1, -5.4)]]"
1,1,1.0,0.0,6.25,0.7353240093871641,0.0,0,"[[(-0.4, -4.4), (2.3, 1.0)]]","[[(-1.3, -0.9), (-4.4, -0.2)], [(-0.4, 0.5), (-1.0, -4.9)], [(2.5, -0.3), (7.0, -0.6)], [(-6.7, -0.8), (-0.9, -2.3)], [(0.7, -0.6), (-3.0, 0.1)], [(-3.4, -0.2), (-1.0, 4.2)], [(0.9, 6.5), (4.2, -1.0)], [(-2.4, 1.0), (-0.1, -6.0)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(5.3, 0.8), (0.2, 2.5)]]","[[(1.1, -2.0), (0.7, -7.2)], [(0.1, -0.2), (0.1, 4.3)], [(-0.9, 0.7), (-1.1, 4.2)], [(0.9, 6.9), (-6.4, 0.2)], [(-1.9, 0.4), (6.8, 0.5)], [(0.6, 1.0), (2.1, -1.0)], [(0.1, 4.7), (-2.4, 0.1)], [(4.8, 0.3), (1.0, 3.3)]]"
1,1,0.0,1.0,25,-0.5931890770207942,0.25,0.13524492924523462,"[[(-0.4, -5.8), (-0.2, 4.8)]]","[[(1.1, 1.8), (-0.9, -5.5)], [(-1.1, 2.3), (7.0, 0.6)], [(6.6, 0.3), (1.2, 7.2)], [(0.2, -4.8), (4.2, 0.7)], [(-2.3, -0.5), (5.9, 0.1)], [(-0.4, -7.1), (0.2, 3.7)], [(1.4, -1.1), (1.1, -4.9)], [(0.1, 6.7), (0.6, 2.1)]]"
<<<<<<< Updated upstream
=======
1,1,0.0,1.0,25,-0.5654146459984757,0.5,0.13338562635847326,"[[(-4.6, -0.8), (-1.0, -4.0)]]","[[(-5.9, -0.2), (-4.1, 0.1)], [(-3.2, 0.9), (-0.6, -2.4)], [(4.8, -1.1), (1.2, -4.9)], [(2.6, 0.6), (-0.2, 5.6)], [(-4.6, 0.3), (5.9, 0.1)], [(1.0, 4.5), (-0.1, -6.0)], [(1.1, -2.8), (-7.1, 0.4)], [(3.3, -1.2), (5.2, 1.0)]]"
1,1,0.0,1.0,25,-0.4994821081228785,0.15384615384615385,0.12955416456119,"[[(-0.3, 2.7), (-0.7, -5.6)]]","[[(-0.6, -4.8), (5.1, 1.0)], [(-0.3, -1.1), (1.1, -2.4)], [(0.7, 1.0), (3.3, 0.4)], [(1.8, -0.7), (-4.6, -1.1)], [(7.0, 0.4), (4.2, -1.0)], [(0.1, 3.7), (-2.5, -0.6)], [(0.7, -0.9), (-0.5, -5.7)], [(-1.6, 0.2), (-1.2, -3.4)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(4.6, 1.0), (-0.3, -5.4)]]","[[(-0.6, -0.9), (-0.2, 6.7)], [(0.8, 5.7), (2.4, 0.4)], [(0.5, 1.8), (-0.0, -2.4)], [(-3.4, 0.2), (6.5, 1.0)], [(3.9, 0.6), (-6.2, -0.2)], [(-1.0, 0.9), (0.9, -4.2)], [(2.6, 0.3), (0.1, 2.3)], [(2.3, -1.2), (3.1, 1.2)]]"
1,1,1.0,0.0,3.25,1.2205170233439318,0.0,0,"[[(-3.3, 0.7), (2.8, -0.3)]]","[[(2.3, -0.7), (-1.1, -6.6)], [(-4.9, -0.3), (0.7, -3.5)], [(0.2, 0.7), (-0.9, 3.6)], [(3.5, -0.2), (0.2, 5.5)], [(0.1, -7.0), (-6.5, 0.4)], [(0.6, -3.0), (0.8, -4.5)], [(2.5, 0.4), (0.0, 4.1)], [(0.9, 7.1), (2.4, 1.1)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(2.3, -1.2), (-5.1, -0.1)]]","[[(0.7, 2.8), (3.7, -0.7)], [(2.5, -0.7), (-0.6, -2.7)], [(0.8, -1.0), (-4.4, 1.2)], [(5.0, 0.5), (-0.4, 3.6)], [(0.9, 6.0), (5.4, -0.5)], [(5.7, -1.0), (-1.2, 4.6)], [(0.4, -2.7), (0.3, -6.9)], [(-1.6, -0.5), (6.2, 1.1)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(1.2, 4.0), (4.3, -1.0)]]","[[(1.2, 4.3), (-0.5, -3.7)], [(0.0, -2.1), (-3.9, -0.1)], [(0.5, 0.6), (-0.0, 2.7)], [(0.9, 6.1), (1.1, -6.6)], [(3.3, -0.4), (4.4, -0.1)], [(-1.2, 0.9), (-0.3, -4.7)], [(4.5, 0.4), (-5.5, -0.8)], [(-1.1, -6.8), (-0.2, 7.1)]]"
1,1,1.0,0.0,6.5,0.6497273717128411,0.3076923076923077,0.0891002986189472,"[[(-1.0, -6.4), (-3.2, 1.2)]]","[[(3.4, -0.7), (-0.1, 7.2)], [(-7.2, -0.4), (-5.3, -0.1)], [(6.3, 0.3), (-0.6, 3.6)], [(-1.6, -1.0), (-5.2, -1.2)], [(6.0, -0.9), (-0.3, 5.7)], [(-0.3, 1.5), (0.6, -4.4)], [(-6.0, 0.6), (0.8, 4.6)], [(-0.8, 5.8), (6.6, -0.9)]]"
1,1,0.0,1.0,25,-0.5572217649207909,0.2,0.11192066542246698,"[[(6.6, 0.8), (-0.1, 5.5)]]","[[(0.9, -6.7), (-4.8, -1.2)], [(-1.0, 3.4), (-1.2, -4.1)], [(-0.6, -0.0), (4.6, -1.1)], [(5.2, 0.9), (-0.4, 6.2)], [(-5.2, -0.6), (3.4, 1.1)], [(-0.6, -2.8), (6.0, -0.3)], [(-1.9, 0.3), (-2.8, 0.8)], [(-5.6, 0.4), (-3.4, 0.0)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(3.0, -0.2), (-6.6, -0.3)]]","[[(0.4, 3.0), (-4.9, 0.9)], [(-6.9, -1.0), (-0.9, 6.3)], [(0.2, -5.0), (0.4, -5.1)], [(-4.2, -0.3), (0.2, 4.8)], [(-0.5, 2.3), (1.1, 5.4)], [(1.2, -6.4), (3.8, -1.1)], [(0.5, 0.3), (-6.3, 1.0)], [(3.2, 0.6), (5.4, 0.6)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(-5.5, 0.0), (5.7, -1.2)]]","[[(-5.8, -0.1), (4.9, -0.6)], [(-0.8, -3.3), (-0.3, 7.0)], [(0.6, 5.8), (-0.1, 4.6)], [(-0.9, 3.8), (6.0, -1.0)], [(0.2, 3.3), (-0.4, 2.8)], [(1.2, 3.2), (-0.9, 5.9)], [(7.2, -0.8), (4.7, 0.8)], [(-1.5, 0.3), (-4.8, 0.7)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(2.9, -0.9), (1.2, -4.2)]]","[[(-0.9, 2.6), (-0.0, -3.6)], [(2.8, -0.4), (3.6, 0.8)], [(-2.9, -0.5), (5.0, 0.9)], [(0.7, -4.1), (0.9, 4.1)], [(0.1, 4.2), (0.8, -5.0)], [(-0.7, 3.6), (-1.1, -2.3)], [(1.1, 2.4), (4.2, -1.0)], [(3.1, 0.9), (7.0, 0.8)]]"
1,1,0.0,1.0,25,-0.4782391821686519,0.5882352941176471,0.1232606846644881,"[[(-3.2, -1.1), (3.0, -0.5)]]","[[(0.8, -3.3), (-0.9, -4.6)], [(-5.7, -0.5), (-3.4, 0.1)], [(5.2, 0.7), (-0.9, 7.0)], [(0.2, 0.5), (-2.3, -0.7)], [(0.4, 5.4), (-3.1, 1.1)], [(-1.7, 1.1), (0.1, -6.8)], [(-5.0, 0.9), (6.3, 1.1)], [(-0.6, 5.5), (6.6, -0.4)]]"
1,1,1.0,0.0,2.0,1.5011778322037324,0.0,0,"[[(2.1, 0.3), (0.3, 3.3)]]","[[(0.5, 6.5), (-1.2, -2.9)], [(-3.9, -0.3), (6.8, -0.4)], [(6.9, -0.9), (5.8, 0.8)], [(-1.0, -6.2), (2.4, 0.6)], [(5.8, -1.1), (0.5, -5.8)], [(-0.9, 3.0), (-5.0, -0.8)], [(-7.1, 0.4), (-0.2, 3.1)], [(1.2, 5.6), (-0.1, -7.0)]]"
1,1,0.0,1.0,25,-0.5981338812149709,0.625,0.15311411663137497,"[[(7.0, -0.3), (-2.3, 0.2)]]","[[(4.9, -0.5), (3.3, 0.9)], [(-4.9, 0.7), (-1.2, -2.6)], [(6.1, -0.9), (-0.1, 6.0)], [(-1.7, 1.2), (-1.0, 5.0)], [(-1.8, -0.3), (-3.4, 0.9)], [(-6.9, 1.2), (5.4, -1.1)], [(6.5, 1.2), (-6.4, -0.3)], [(0.6, -3.3), (6.3, -0.4)]]"
1,1,0.0,1.0,25,-0.36072358101371255,0.8846153846153846,0.05181586216832842,"[[(0.5, 6.7), (-4.6, -0.3)]]","[[(-0.8, -2.6), (-2.1, 0.6)], [(1.7, -0.4), (-3.4, -0.4)], [(-0.1, 5.6), (6.4, -1.2)], [(1.2, -3.7), (-1.1, -3.1)], [(1.0, -2.1), (0.2, 6.9)], [(7.1, 1.0), (-4.4, 0.7)], [(-6.1, 0.4), (-1.0, 3.2)], [(1.0, 4.8), (-0.1, 2.3)]]"
1,1,0.0,1.0,25,-0.6580675902937384,0.4,0.14318510370575244,"[[(2.7, 0.7), (-4.7, 0.1)]]","[[(1.7, 0.1), (-1.0, 5.2)], [(0.6, -3.2), (-5.7, 0.1)], [(0.4, 3.6), (0.1, -4.8)], [(-5.0, 0.6), (-0.1, -2.5)], [(-1.1, 0.7), (4.7, 0.0)], [(-0.8, 5.3), (0.3, -5.9)], [(5.0, 0.8), (2.6, -0.9)], [(3.0, -0.9), (-0.5, 6.7)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(6.1, 1.2), (1.2, -2.1)]]","[[(1.4, 0.7), (0.8, -4.2)], [(0.7, -2.2), (-3.8, -0.2)], [(3.7, -0.5), (-7.1, 0.6)], [(0.6, 2.4), (0.6, -2.1)], [(-3.2, -0.1), (6.1, -0.0)], [(-0.1, 6.6), (0.1, 5.6)], [(6.6, 0.7), (-5.1, 0.9)], [(-7.1, 1.0), (-2.1, -1.0)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(7.1, -0.8), (-3.1, 0.9)]]","[[(-4.4, 0.3), (3.8, 0.5)], [(5.2, -1.1), (-6.5, -0.3)], [(1.1, -2.1), (-1.2, 6.8)], [(-1.3, -1.0), (-0.1, -6.2)], [(3.5, -1.2), (0.7, -2.6)], [(7.0, -1.2), (-0.5, 2.4)], [(1.0, 5.3), (-0.0, 4.2)], [(-3.1, -0.1), (-5.5, -0.0)]]"
1,1,0.0,1.0,25,-0.30212029562315834,0.28125,0.12507463326571194,"[[(0.9, -6.7), (4.0, 0.3)]]","[[(-0.5, -6.6), (3.5, 0.7)], [(1.2, -2.3), (-4.9, -0.3)], [(-0.7, 1.9), (-0.2, 6.6)], [(6.2, 0.2), (6.0, -0.0)], [(-5.9, -0.3), (4.9, -0.2)], [(0.3, -4.3), (-0.7, 4.3)], [(-0.8, -3.5), (-3.0, 0.1)], [(-0.2, -1.1), (3.0, -0.6)]]"
1,1,0.0,1.0,25,-0.46341884075268847,0.06666666666666667,0.11778012569267349,"[[(-6.8, 0.2), (-1.2, 6.8)]]","[[(0.8, -2.6), (0.4, -5.0)], [(-0.9, -2.5), (0.3, 7.2)], [(-2.2, 0.1), (-0.3, 2.3)], [(-0.3, -5.5), (4.2, -0.6)], [(-3.5, -0.3), (-1.2, -4.7)], [(-5.5, -0.4), (-1.0, 5.7)], [(0.6, -1.5), (1.0, -4.0)], [(0.9, 6.5), (-3.8, -0.8)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(4.8, 0.1), (-0.5, 6.0)]]","[[(2.7, 0.6), (-1.1, -3.8)], [(-6.0, -0.3), (-3.2, 0.1)], [(3.9, 0.4), (-5.0, -0.6)], [(-1.1, 6.1), (1.0, 5.9)], [(-5.0, 0.1), (-6.6, 0.2)], [(5.5, -0.1), (-0.3, -2.8)], [(0.9, -6.5), (2.5, 1.2)], [(-0.9, 0.9), (4.4, -1.0)]]"
1,1,1.0,0.0,7.75,0.5405709940403048,0.3870967741935484,0.13815902843193165,"[[(0.8, 3.6), (-2.6, 0.1)]]","[[(-0.6, -6.3), (-5.2, 1.1)], [(-3.0, 0.8), (-1.0, 2.7)], [(-6.1, -0.5), (4.7, 0.7)], [(-0.8, 6.3), (-0.7, -3.9)], [(-1.2, 3.0), (0.9, -7.2)], [(0.6, -5.9), (-0.4, 3.9)], [(0.4, 2.2), (3.1, -0.2)], [(4.5, -0.5), (0.8, 5.9)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(6.3, -0.7), (-1.1, -6.0)]]","[[(5.6, -0.2), (1.2, -3.0)], [(5.1, 0.7), (2.4, 0.5)], [(0.5, -1.3), (1.2, 4.8)], [(1.5, -0.1), (0.3, 5.5)], [(-5.7, -0.5), (4.7, 1.1)], [(3.4, -0.8), (-2.6, -0.8)], [(0.9, 1.6), (1.0, 7.2)], [(-0.7, -5.2), (-3.7, -1.1)]]"
1,1,1.0,0.0,9.25,0.30269890408833433,0.5945945945945946,0.08516480834798368,"[[(3.2, 0.0), (-4.0, 0.7)]]","[[(-1.7, -0.6), (-2.6, -1.1)], [(-3.7, -0.6), (4.1, 1.0)], [(-0.6, 0.8), (0.9, 7.2)], [(-2.6, -1.2), (2.8, -0.2)], [(2.7, 0.9), (-6.1, 1.1)], [(1.5, 0.6), (6.0, 0.8)], [(6.2, -0.8), (5.2, -0.8)], [(-6.4, 0.3), (0.7, 5.3)]]"
1,1,0.0,1.0,25,-0.6271143833675306,0.0,0,"[[(0.7, 3.0), (-0.2, -3.8)]]","[[(3.2, 0.8), (0.2, -4.8)], [(0.5, -0.9), (-0.6, 3.3)], [(0.5, 4.5), (5.4, -0.6)], [(-1.1, -1.2), (0.5, 6.4)], [(2.5, -1.1), (-5.0, 0.0)], [(0.3, -3.4), (2.6, -0.1)], [(7.1, 1.0), (-0.1, 5.4)], [(-2.0, 0.8), (-1.0, -6.5)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(-0.0, -4.3), (-2.1, -0.6)]]","[[(3.6, -0.7), (-2.4, -0.4)], [(3.5, 0.5), (-0.7, 2.7)], [(0.5, -3.6), (2.5, 1.2)], [(-0.4, 3.9), (7.0, 1.2)], [(-1.2, -0.5), (1.2, -6.2)], [(5.3, 0.4), (-5.1, 0.4)], [(-2.2, 1.1), (1.1, -2.5)], [(-4.3, -0.6), (-5.0, -1.0)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(-4.9, -0.2), (0.2, -6.6)]]","[[(-1.1, 2.3), (6.1, -0.7)], [(0.0, 1.3), (3.9, 0.8)], [(-5.2, 0.0), (7.0, 0.1)], [(-1.0, -4.4), (-0.0, -2.9)], [(2.0, -0.1), (-0.0, -7.2)], [(4.2, -1.2), (-3.6, -1.0)], [(-0.9, 5.7), (-0.2, -4.9)], [(-0.1, 3.6), (-6.5, 0.2)]]"
1,1,0.0,1.0,25,-0.6468743900802374,0.9090909090909091,0.06589047745018842,"[[(-1.2, -6.1), (-2.5, -0.9)]]","[[(-1.0, -4.8), (-5.6, 0.9)], [(-0.1, -3.8), (-0.7, 2.3)], [(1.2, -5.2), (0.9, -7.0)], [(-4.1, 0.2), (-0.9, 4.0)], [(-0.1, -2.4), (-1.2, -5.5)], [(6.0, 0.4), (-2.2, -1.0)], [(-2.2, 0.2), (0.6, 5.9)], [(-0.8, -7.1), (-3.4, 1.1)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(-0.5, -4.2), (-2.6, 0.9)]]","[[(-0.6, 5.2), (-1.1, -5.3)], [(-6.9, -1.0), (3.0, -0.7)], [(0.1, -6.6), (0.6, 4.5)], [(1.2, 5.5), (6.2, -1.0)], [(1.6, 0.4), (0.8, -3.7)], [(0.9, -5.2), (3.8, 1.2)], [(-0.3, -4.0), (0.1, -5.4)], [(-0.3, 3.8), (-5.5, -0.8)]]"
1,1,0.0,1.0,25,-0.6091675738010701,0.14285714285714285,0.14250641966566568,"[[(-0.7, -5.5), (5.2, 0.3)]]","[[(-1.1, -2.4), (6.2, -1.2)], [(1.1, 0.3), (4.8, -0.9)], [(0.6, -1.9), (0.5, -2.9)], [(-0.5, 0.6), (2.7, -0.4)], [(0.6, 5.5), (-0.0, 7.0)], [(1.2, 1.3), (-0.4, -5.6)], [(1.2, -5.3), (-0.9, 5.2)], [(-0.5, -0.5), (-2.3, -0.6)]]"
